UserID,FriendID,FriendCount,HasMultipleFriends
1041,67258623,46,Multiple Friends
1041,3510,46,Multiple Friends
1041,123041,46,Multiple Friends
1041,987262730,46,Multiple Friends
1041,63322155,46,Multiple Friends
1041,9624,46,Multiple Friends
1041,128118761,46,Multiple Friends
1041,16780364,46,Multiple Friends
1041,303970470,46,Multiple Friends
1041,53183714,46,Multiple Friends
1041,178296,46,Multiple Friends
1041,3307698548,46,Multiple Friends
1041,33705283,46,Multiple Friends
1041,5140,46,Multiple Friends
1041,40350648,46,Multiple Friends
1041,1407667169,46,Multiple Friends
1041,895332223,46,Multiple Friends
1041,1217764104,46,Multiple Friends
1041,451192681,46,Multiple Friends
1041,80201373,46,Multiple Friends
1041,831,46,Multiple Friends
1041,435886953,46,Multiple Friends
1041,9559232,46,Multiple Friends
1041,21916877,46,Multiple Friends
1041,40075726,46,Multiple Friends
1041,62517228,46,Multiple Friends
1041,121196367,46,Multiple Friends
1041,87969202,46,Multiple Friends
1041,1645828081,46,Multiple Friends
1041,1018526,46,Multiple Friends
1041,64726169,46,Multiple Friends
1041,38290253,46,Multiple Friends
1041,377139,46,Multiple Friends
1041,64844773,46,Multiple Friends
1041,355340327,46,Multiple Friends
1041,27880381,46,Multiple Friends
1041,9313,46,Multiple Friends
1041,830068265,46,Multiple Friends
1041,1414490300,46,Multiple Friends
1041,56186502,46,Multiple Friends
1041,472695518,46,Multiple Friends
1041,7743252,46,Multiple Friends
1041,193370892,46,Multiple Friends
1041,1148800361,46,Multiple Friends
1041,33908727,46,Multiple Friends
1041,62143313,46,Multiple Friends
67258623,24561471,93,Multiple Friends
67258623,69876158,93,Multiple Friends
67258623,2323539704,93,Multiple Friends
67258623,2277892258,93,Multiple Friends
67258623,532131,93,Multiple Friends
67258623,111224328,93,Multiple Friends
67258623,343509174,93,Multiple Friends
67258623,108415729,93,Multiple Friends
67258623,848099109,93,Multiple Friends
67258623,205870245,93,Multiple Friends
67258623,1104708967,93,Multiple Friends
67258623,598321731,93,Multiple Friends
67258623,1308948234,93,Multiple Friends
67258623,3938909,93,Multiple Friends
67258623,110175,93,Multiple Friends
67258623,79732323,93,Multiple Friends
67258623,1393867773,93,Multiple Friends
67258623,3003196782,93,Multiple Friends
67258623,525135,93,Multiple Friends
67258623,1375166983,93,Multiple Friends
67258623,673459304,93,Multiple Friends
67258623,833821512,93,Multiple Friends
67258623,2822608265,93,Multiple Friends
67258623,2653673317,93,Multiple Friends
67258623,8569,93,Multiple Friends
67258623,320194025,93,Multiple Friends
67258623,27183971,93,Multiple Friends
67258623,803710,93,Multiple Friends
67258623,799144,93,Multiple Friends
67258623,1438410675,93,Multiple Friends
67258623,372049429,93,Multiple Friends
67258623,18805629,93,Multiple Friends
67258623,120789594,93,Multiple Friends
67258623,649416272,93,Multiple Friends
67258623,2702660524,93,Multiple Friends
67258623,167569641,93,Multiple Friends
67258623,33563959,93,Multiple Friends
67258623,1252348079,93,Multiple Friends
67258623,30487989,93,Multiple Friends
67258623,95926619,93,Multiple Friends
67258623,90911369,93,Multiple Friends
67258623,811057927,93,Multiple Friends
67258623,41891032,93,Multiple Friends
67258623,3455991,93,Multiple Friends
67258623,27869,93,Multiple Friends
67258623,3007856837,93,Multiple Friends
67258623,2399494180,93,Multiple Friends
67258623,2947203990,93,Multiple Friends
67258623,218079,93,Multiple Friends
67258623,2941704039,93,Multiple Friends
67258623,135857854,93,Multiple Friends
67258623,1324750008,93,Multiple Friends
67258623,1394504192,93,Multiple Friends
67258623,900320725,93,Multiple Friends
67258623,36891047,93,Multiple Friends
67258623,722485612,93,Multiple Friends
67258623,49974,93,Multiple Friends
67258623,567251645,93,Multiple Friends
67258623,35917,93,Multiple Friends
67258623,1723189698,93,Multiple Friends
67258623,1193713304,93,Multiple Friends
67258623,36570930,93,Multiple Friends
67258623,11170246,93,Multiple Friends
67258623,35276,93,Multiple Friends
67258623,59589613,93,Multiple Friends
67258623,6848518,93,Multiple Friends
67258623,1319455479,93,Multiple Friends
67258623,395949,93,Multiple Friends
67258623,64488,93,Multiple Friends
67258623,1041,93,Multiple Friends
67258623,6678,93,Multiple Friends
67258623,469425972,93,Multiple Friends
67258623,2780051006,93,Multiple Friends
67258623,20348050,93,Multiple Friends
67258623,23043837,93,Multiple Friends
67258623,484265,93,Multiple Friends
67258623,7695,93,Multiple Friends
67258623,1783950382,93,Multiple Friends
67258623,13432,93,Multiple Friends
67258623,220779854,93,Multiple Friends
67258623,397458070,93,Multiple Friends
67258623,1841019645,93,Multiple Friends
67258623,694260822,93,Multiple Friends
67258623,1309447947,93,Multiple Friends
67258623,310950243,93,Multiple Friends
67258623,2866335004,93,Multiple Friends
67258623,80905,93,Multiple Friends
67258623,133271859,93,Multiple Friends
67258623,1749581957,93,Multiple Friends
67258623,2239491754,93,Multiple Friends
67258623,4699,93,Multiple Friends
67258623,2404494180,93,Multiple Friends
67258623,94431826,93,Multiple Friends
3510,16401,22,Multiple Friends
3510,348563403,22,Multiple Friends
3510,1449634,22,Multiple Friends
3510,19915,22,Multiple Friends
3510,486,22,Multiple Friends
3510,2952,22,Multiple Friends
3510,942097,22,Multiple Friends
3510,5695,22,Multiple Friends
3510,1376205214,22,Multiple Friends
3510,2578,22,Multiple Friends
3510,2670,22,Multiple Friends
3510,7987,22,Multiple Friends
3510,7465,22,Multiple Friends
3510,1033332,22,Multiple Friends
3510,1041,22,Multiple Friends
3510,154845196,22,Multiple Friends
3510,512387,22,Multiple Friends
3510,179670,22,Multiple Friends
3510,189298,22,Multiple Friends
3510,909450255,22,Multiple Friends
3510,589891005,22,Multiple Friends
3510,3511,22,Multiple Friends
123041,405,49,Multiple Friends
123041,363,49,Multiple Friends
123041,394,49,Multiple Friends
123041,741,49,Multiple Friends
123041,975,49,Multiple Friends
123041,967,49,Multiple Friends
123041,784,49,Multiple Friends
123041,400,49,Multiple Friends
123041,273,49,Multiple Friends
123041,695,49,Multiple Friends
123041,1277,49,Multiple Friends
123041,669,49,Multiple Friends
123041,1338,49,Multiple Friends
123041,721,49,Multiple Friends
123041,692,49,Multiple Friends
123041,265,49,Multiple Friends
123041,1137,49,Multiple Friends
123041,1002,49,Multiple Friends
123041,575,49,Multiple Friends
123041,20975,49,Multiple Friends
123041,616,49,Multiple Friends
123041,360,49,Multiple Friends
123041,718,49,Multiple Friends
123041,318,49,Multiple Friends
123041,1268,49,Multiple Friends
123041,311,49,Multiple Friends
123041,7393899,49,Multiple Friends
123041,408,49,Multiple Friends
123041,870,49,Multiple Friends
123041,26712233,49,Multiple Friends
123041,384,49,Multiple Friends
123041,493,49,Multiple Friends
123041,831,49,Multiple Friends
123041,889,49,Multiple Friends
123041,4653,49,Multiple Friends
123041,352,49,Multiple Friends
123041,868,49,Multiple Friends
123041,736,49,Multiple Friends
123041,108,49,Multiple Friends
123041,1041,49,Multiple Friends
123041,215,49,Multiple Friends
123041,283818,49,Multiple Friends
123041,933,49,Multiple Friends
123041,627,49,Multiple Friends
123041,899,49,Multiple Friends
123041,294,49,Multiple Friends
123041,996,49,Multiple Friends
123041,722,49,Multiple Friends
123041,355,49,Multiple Friends
987262730,987746441,26,Multiple Friends
987262730,1031075950,26,Multiple Friends
987262730,998177100,26,Multiple Friends
987262730,106321569,26,Multiple Friends
987262730,987270911,26,Multiple Friends
987262730,986503593,26,Multiple Friends
987262730,906091268,26,Multiple Friends
987262730,157722,26,Multiple Friends
987262730,992877488,26,Multiple Friends
987262730,301689035,26,Multiple Friends
987262730,984547343,26,Multiple Friends
987262730,1332651,26,Multiple Friends
987262730,951383825,26,Multiple Friends
987262730,1095279,26,Multiple Friends
987262730,415705461,26,Multiple Friends
987262730,987332502,26,Multiple Friends
987262730,32085984,26,Multiple Friends
987262730,988815420,26,Multiple Friends
987262730,990538229,26,Multiple Friends
987262730,1041,26,Multiple Friends
987262730,971979787,26,Multiple Friends
987262730,537409245,26,Multiple Friends
987262730,121582598,26,Multiple Friends
987262730,410548611,26,Multiple Friends
987262730,983170640,26,Multiple Friends
987262730,1705408,26,Multiple Friends
63322155,1660578014,16,Multiple Friends
63322155,224874004,16,Multiple Friends
63322155,192950703,16,Multiple Friends
63322155,1927037,16,Multiple Friends
63322155,481335101,16,Multiple Friends
63322155,141019450,16,Multiple Friends
63322155,51003982,16,Multiple Friends
63322155,46142295,16,Multiple Friends
63322155,946209221,16,Multiple Friends
63322155,6296488,16,Multiple Friends
63322155,1041,16,Multiple Friends
63322155,80812838,16,Multiple Friends
63322155,276978892,16,Multiple Friends
63322155,1173460258,16,Multiple Friends
63322155,175443528,16,Multiple Friends
63322155,84947359,16,Multiple Friends
9624,318928,9,Multiple Friends
9624,11569,9,Multiple Friends
9624,5695,9,Multiple Friends
9624,168024,9,Multiple Friends
9624,42146701,9,Multiple Friends
9624,1041,9,Multiple Friends
9624,18073214,9,Multiple Friends
9624,1799964,9,Multiple Friends
9624,38097,9,Multiple Friends
128118761,22128,50,Multiple Friends
128118761,14984,50,Multiple Friends
128118761,42727,50,Multiple Friends
128118761,14438,50,Multiple Friends
128118761,11477,50,Multiple Friends
128118761,909092,50,Multiple Friends
128118761,655028024,50,Multiple Friends
128118761,503171653,50,Multiple Friends
128118761,654423,50,Multiple Friends
128118761,2356,50,Multiple Friends
128118761,29587,50,Multiple Friends
